name,value,rank,year,lastValue
I,1567,10,0,1567
A,1574,9,0,1574
G,2122,8,0,2122
F,3804,7,0,3804
D,4190,6,0,4190
E,4908,5,0,4908
B,5073,4,0,5073
H,5364,3,0,5364
C,5590,2,0,5590
J,5645,1,0,5645
A,4821,10,1,1574
I,5252,9,1,1567
G,5420,8,1,2122
D,6581,7,1,4190
F,7603,6,1,3804
H,7648,5,1,5364
B,7667,4,1,5073
C,7941,3,1,5590
E,8243,2,1,4908
J,10223,1,1,5645
D,7025,10,2,6581
G,8363,9,2,5420
A,9372,8,2,4821
I,10318,7,2,5252
E,10730,6,2,8243
B,11552,5,2,7667
H,11913,4,2,7648
F,12431,3,2,7603
C,12675,2,2,7941
J,15161,1,2,10223
D,8123,10,3,7025
A,11380,9,3,9372
G,12475,8,3,8363
I,13147,7,3,10318
C,13231,6,3,12675
B,14802,5,3,11552
E,15055,4,3,10730
H,16139,3,3,11913
F,17326,2,3,12431
J,18935,1,3,15161
D,13394,10,4,8123
G,14497,9,4,12475
C,15323,8,4,13231
A,16009,7,4,11380
I,17466,6,4,13147
B,17487,5,4,14802
F,17979,4,4,17326
E,18333,3,4,15055
H,19865,2,4,16139
J,24328,1,4,18935
C,16596,10,5,15323
F,17996,9,5,17979
D,18102,8,5,13394
G,18661,7,5,14497
E,20422,6,5,18333
I,20455,5,5,17466
A,20933,4,5,16009
B,22471,3,5,17487
H,25113,2,5,19865
J,28191,1,5,24328
C,17748,10,6,16596
G,20313,9,6,18661
F,21921,8,6,17996
E,21974,7,6,20422
D,22381,6,6,18102
A,22532,5,6,20933
I,23574,4,6,20455
H,25700,3,6,25113
B,27691,2,6,22471
J,31924,1,6,28191
C,18627,10,7,17748
E,22133,9,7,21974
A,23438,8,7,22532
G,24087,7,7,20313
H,27090,6,7,25700
D,27213,5,7,22381
F,27385,4,7,21921
I,28114,3,7,23574
B,30372,2,7,27691
J,36021,1,7,31924
C,19476,10,8,18627
E,23796,9,8,22133
A,26954,8,8,23438
G,28197,7,8,24087
H,28631,6,8,27090
I,28987,5,8,28114
F,29939,4,8,27385
D,31275,3,8,27213
B,31638,2,8,30372
J,37830,1,8,36021
C,22781,10,9,19476
E,26560,9,9,23796
G,29163,8,9,28197
A,29622,7,9,26954
H,30728,6,9,28631
I,31835,5,9,28987
F,33208,4,9,29939
D,36199,3,9,31275
B,36317,2,9,31638
J,39689,1,9,37830
C,24862,10,10,22781
E,31562,9,10,26560
H,33070,8,10,30728
I,33263,7,10,31835
A,33663,6,10,29622
G,33777,5,10,29163
F,37011,4,10,33208
D,40241,3,10,36199
B,40439,2,10,36317
J,44377,1,10,39689
C,29587,10,11,24862
E,33629,9,11,31562
I,34928,8,11,33263
H,35317,7,11,33070
G,35714,6,11,33777
A,36404,5,11,33663
F,39798,4,11,37011
B,43558,3,11,40439
D,45534,2,11,40241
J,49313,1,11,44377
C,31154,10,12,29587
I,36177,9,12,34928
H,36866,8,12,35317
G,37034,7,12,35714
E,37901,6,12,33629
A,39616,5,12,36404
F,43226,4,12,39798
B,45713,3,12,43558
D,49366,2,12,45534
J,52978,1,12,49313
